pdc;id_compteur;date_debut;date_fin
linky0179;C00000179;2020-03-27 00:00:00;2020-04-12 00:00:00
linky0180;C00000180;2020-03-28 00:00:00;2020-04-13 00:00:00
linky0181;C00000181;2020-03-29 00:00:00;2020-04-14 00:00:00
linky0182;C00000182;2020-03-30 00:00:00;2020-04-15 00:00:00
linky0183;C00000183;2020-03-31 00:00:00;2020-04-16 00:00:00
linky0184;C00000184;2020-04-01 00:00:00;2020-04-17 00:00:00
linky0185;C00000185;2020-04-02 00:00:00;2020-04-18 00:00:00
linky0186;C00000186;2020-04-03 00:00:00;2020-04-19 00:00:00
linky0187;C00000187;2020-04-04 00:00:00;2020-04-20 00:00:00
linky0188;C00000188;2020-04-05 00:00:00;2020-04-21 00:00:00
linky0189;C00000189;2020-04-06 00:00:00;2020-04-22 00:00:00
linky0190;C00000190;2020-04-07 00:00:00;2020-04-23 00:00:00
linky0191;C00000191;2020-04-08 00:00:00;2020-04-24 00:00:00
linky0192;C00000192;2020-04-09 00:00:00;2020-04-25 00:00:00
linky0193;C00000193;2020-04-10 00:00:00;2020-04-26 00:00:00
linky0194;C00000194;2020-04-11 00:00:00;2020-04-27 00:00:00
linky0195;C00000195;2020-04-12 00:00:00;2020-04-28 00:00:00
linky0196;C00000196;2020-04-13 00:00:00;2020-04-29 00:00:00
linky0197;C00000197;2020-04-14 00:00:00;2020-04-30 00:00:00
linky0198;C00000198;2020-04-15 00:00:00;2020-05-01 00:00:00
linky0199;C00000199;2020-04-16 00:00:00;2020-05-02 00:00:00
linky0200;C00000200;2020-04-17 00:00:00;2020-05-03 00:00:00
linky0201;C00000201;2020-04-18 00:00:00;2020-05-04 00:00:00
linky0202;C00000202;2020-04-19 00:00:00;2020-05-05 00:00:00
linky0203;C00000203;2020-04-20 00:00:00;2020-05-06 00:00:00
linky0204;C00000204;2020-04-21 00:00:00;2020-05-07 00:00:00
linky0205;C00000205;2020-04-22 00:00:00;2020-05-08 00:00:00
linky0206;C00000206;2020-04-23 00:00:00;2020-05-09 00:00:00
linky0207;C00000207;2020-04-24 00:00:00;2020-05-10 00:00:00
linky0208;C00000208;2020-04-25 00:00:00;2020-05-11 00:00:00
linky0209;C00000209;2020-04-26 00:00:00;2020-05-12 00:00:00
linky0210;C00000210;2020-04-27 00:00:00;2020-05-13 00:00:00
linky0211;C00000211;2020-04-28 00:00:00;2020-05-14 00:00:00
linky0212;C00000212;2020-04-29 00:00:00;2020-05-15 00:00:00
linky0213;C00000213;2020-04-30 00:00:00;2020-05-16 00:00:00
linky0214;C00000214;2020-05-01 00:00:00;2020-05-17 00:00:00
linky0215;C00000215;2020-05-02 00:00:00;2020-05-18 00:00:00
linky0216;C00000216;2020-05-03 00:00:00;2020-05-19 00:00:00
linky0217;C00000217;2020-05-04 00:00:00;2020-05-20 00:00:00
linky0218;C00000218;2020-05-05 00:00:00;2020-05-21 00:00:00
linky0219;C00000219;2020-05-06 00:00:00;2020-05-22 00:00:00
linky0220;C00000220;2020-05-07 00:00:00;2020-05-23 00:00:00
linky0221;C00000221;2020-05-08 00:00:00;2020-05-24 00:00:00
linky0222;C00000222;2020-05-09 00:00:00;2020-05-25 00:00:00
linky0223;C00000223;2020-05-10 00:00:00;2020-05-26 00:00:00
linky0224;C00000224;2020-05-11 00:00:00;2020-05-27 00:00:00
linky0225;C00000225;2020-05-12 00:00:00;2020-05-28 00:00:00
linky0226;C00000226;2020-05-13 00:00:00;2020-05-29 00:00:00
linky0227;C00000227;2020-05-14 00:00:00;2020-05-30 00:00:00
linky0228;C00000228;2020-05-15 00:00:00;2020-05-31 00:00:00
linky0229;C00000229;2020-05-16 00:00:00;2020-06-01 00:00:00
linky0230;C00000230;2020-05-17 00:00:00;2020-06-02 00:00:00
linky0231;C00000231;2020-05-18 00:00:00;2020-06-03 00:00:00
linky0232;C00000232;2020-05-19 00:00:00;2020-06-04 00:00:00
linky0233;C00000233;2020-05-20 00:00:00;2020-06-05 00:00:00
linky0234;C00000234;2020-05-21 00:00:00;2020-06-06 00:00:00
linky0235;C00000235;2020-05-22 00:00:00;2020-06-07 00:00:00
linky0236;C00000236;2020-05-23 00:00:00;2020-06-08 00:00:00
linky0237;C00000237;2020-05-24 00:00:00;2020-06-09 00:00:00
linky0238;C00000238;2020-05-25 00:00:00;2020-06-10 00:00:00
linky0239;C00000239;2020-05-26 00:00:00;2020-06-11 00:00:00
linky0240;C00000240;2020-05-27 00:00:00;2020-06-12 00:00:00
linky0241;C00000241;2020-05-28 00:00:00;2020-06-13 00:00:00
linky0242;C00000242;2020-05-29 00:00:00;2020-06-14 00:00:00
linky0243;C00000243;2020-05-30 00:00:00;2020-06-15 00:00:00
linky0244;C00000244;2020-05-31 00:00:00;2020-06-16 00:00:00
linky0245;C00000245;2020-06-01 00:00:00;2020-06-17 00:00:00
linky0246;C00000246;2020-06-02 00:00:00;2020-06-18 00:00:00
linky0247;C00000247;2020-06-03 00:00:00;2020-06-19 00:00:00
linky0248;C00000248;2020-06-04 00:00:00;2020-06-20 00:00:00
linky0249;C00000249;2020-06-05 00:00:00;2020-06-21 00:00:00
linky0250;C00000250;2020-06-06 00:00:00;2020-06-22 00:00:00
linky0251;C00000251;2020-06-07 00:00:00;2020-06-23 00:00:00
linky0252;C00000252;2020-06-08 00:00:00;2020-06-24 00:00:00
linky0253;C00000253;2020-06-09 00:00:00;2020-06-25 00:00:00
linky0254;C00000254;2020-06-10 00:00:00;2020-06-26 00:00:00
linky0255;C00000255;2020-06-11 00:00:00;2020-06-27 00:00:00
linky0256;C00000256;2020-06-12 00:00:00;2020-06-28 00:00:00
linky0257;C00000257;2020-06-13 00:00:00;2020-06-29 00:00:00
linky0258;C00000258;2020-06-14 00:00:00;2020-06-30 00:00:00
linky0259;C00000259;2020-06-15 00:00:00;2020-07-01 00:00:00
linky0260;C00000260;2020-06-16 00:00:00;2020-07-02 00:00:00
linky0261;C00000261;2020-06-17 00:00:00;2020-07-03 00:00:00
linky0262;C00000262;2020-06-18 00:00:00;2020-07-04 00:00:00
linky0263;C00000263;2020-06-19 00:00:00;2020-07-05 00:00:00
linky0264;C00000264;2020-06-20 00:00:00;2020-07-06 00:00:00
linky0265;C00000265;2020-06-21 00:00:00;2020-07-07 00:00:00
linky0266;C00000266;2020-06-22 00:00:00;2020-07-08 00:00:00
linky0267;C00000267;2020-06-23 00:00:00;2020-07-09 00:00:00
linky0268;C00000268;2020-06-24 00:00:00;2020-07-10 00:00:00
linky0269;C00000269;2020-06-25 00:00:00;2020-07-11 00:00:00
linky0270;C00000270;2020-06-26 00:00:00;2020-07-12 00:00:00
linky0271;C00000271;2020-06-27 00:00:00;2020-07-13 00:00:00
linky0272;C00000272;2020-06-28 00:00:00;2020-07-14 00:00:00
linky0273;C00000273;2020-06-29 00:00:00;2020-07-15 00:00:00
linky0274;C00000274;2020-06-30 00:00:00;2020-07-16 00:00:00
linky0275;C00000275;2020-07-01 00:00:00;2020-07-17 00:00:00
linky0276;C00000276;2020-07-02 00:00:00;2020-07-18 00:00:00
linky0277;C00000277;2020-07-03 00:00:00;2020-07-19 00:00:00
linky0278;C00000278;2020-07-04 00:00:00;2020-07-20 00:00:00
linky0279;C00000279;2020-07-05 00:00:00;2020-07-21 00:00:00
linky0280;C00000280;2020-07-06 00:00:00;2020-07-22 00:00:00
linky0281;C00000281;2020-07-07 00:00:00;2020-07-23 00:00:00
linky0282;C00000282;2020-07-08 00:00:00;2020-07-24 00:00:00
linky0283;C00000283;2020-07-09 00:00:00;2020-07-25 00:00:00
linky0284;C00000284;2020-07-10 00:00:00;2020-07-26 00:00:00
linky0285;C00000285;2020-07-11 00:00:00;2020-07-27 00:00:00
linky0286;C00000286;2020-07-12 00:00:00;2020-07-28 00:00:00
linky0287;C00000287;2020-07-13 00:00:00;2020-07-29 00:00:00
linky0288;C00000288;2020-07-14 00:00:00;2020-07-30 00:00:00
linky0289;C00000289;2020-07-15 00:00:00;2020-07-31 00:00:00
linky0290;C00000290;2020-07-16 00:00:00;2020-08-01 00:00:00
linky0291;C00000291;2020-07-17 00:00:00;2020-08-02 00:00:00
linky0292;C00000292;2020-07-18 00:00:00;2020-08-03 00:00:00
linky0293;C00000293;2020-07-19 00:00:00;2020-08-04 00:00:00
linky0294;C00000294;2020-07-20 00:00:00;2020-08-05 00:00:00
linky0295;C00000295;2020-07-21 00:00:00;2020-08-06 00:00:00
linky0296;C00000296;2020-07-22 00:00:00;2020-08-07 00:00:00
linky0297;C00000297;2020-07-23 00:00:00;2020-08-08 00:00:00
linky0298;C00000298;2020-07-24 00:00:00;2020-08-09 00:00:00
linky0299;C00000299;2020-07-25 00:00:00;2020-08-10 00:00:00
linky0300;C00000300;2020-07-26 00:00:00;2020-08-11 00:00:00
linky0301;C00000301;2020-07-27 00:00:00;2020-08-12 00:00:00
linky0302;C00000302;2020-07-28 00:00:00;2020-08-13 00:00:00
linky0303;C00000303;2020-07-29 00:00:00;2020-08-14 00:00:00
linky0304;C00000304;2020-07-30 00:00:00;2020-08-15 00:00:00
linky0305;C00000305;2020-07-31 00:00:00;2020-08-16 00:00:00
linky0306;C00000306;2020-08-01 00:00:00;2020-08-17 00:00:00
linky0307;C00000307;2020-08-02 00:00:00;2020-08-18 00:00:00
linky0308;C00000308;2020-08-03 00:00:00;2020-08-19 00:00:00
linky0309;C00000309;2020-08-04 00:00:00;2020-08-20 00:00:00
linky0310;C00000310;2020-08-05 00:00:00;2020-08-21 00:00:00
linky0311;C00000311;2020-08-06 00:00:00;2020-08-22 00:00:00
linky0312;C00000312;2020-08-07 00:00:00;2020-08-23 00:00:00
linky0313;C00000313;2020-08-08 00:00:00;2020-08-24 00:00:00
linky0314;C00000314;2020-08-09 00:00:00;2020-08-25 00:00:00
linky0315;C00000315;2020-08-10 00:00:00;2020-08-26 00:00:00
linky0316;C00000316;2020-08-11 00:00:00;2020-08-27 00:00:00
linky0317;C00000317;2020-08-12 00:00:00;2020-08-28 00:00:00
linky0318;C00000318;2020-08-13 00:00:00;2020-08-29 00:00:00
linky0319;C00000319;2020-08-14 00:00:00;2020-08-30 00:00:00
linky0320;C00000320;2020-08-15 00:00:00;2020-08-31 00:00:00
linky0321;C00000321;2020-08-16 00:00:00;2020-09-01 00:00:00
linky0322;C00000322;2020-08-17 00:00:00;2020-09-02 00:00:00
linky0323;C00000323;2020-08-18 00:00:00;2020-09-03 00:00:00
linky0324;C00000324;2020-08-19 00:00:00;2020-09-04 00:00:00
linky0325;C00000325;2020-08-20 00:00:00;2020-09-05 00:00:00
linky0326;C00000326;2020-08-21 00:00:00;2020-09-06 00:00:00
linky0327;C00000327;2020-08-22 00:00:00;2020-09-07 00:00:00
linky0328;C00000328;2020-08-23 00:00:00;2020-09-08 00:00:00
linky0329;C00000329;2020-08-24 00:00:00;2020-09-09 00:00:00
linky0330;C00000330;2020-08-25 00:00:00;2020-09-10 00:00:00
linky0331;C00000331;2020-08-26 00:00:00;2020-09-11 00:00:00
linky0332;C00000332;2020-08-27 00:00:00;2020-09-12 00:00:00
linky0333;C00000333;2020-08-28 00:00:00;2020-09-13 00:00:00
linky0334;C00000334;2020-08-29 00:00:00;2020-09-14 00:00:00
linky0335;C00000335;2020-08-30 00:00:00;2020-09-15 00:00:00
linky0336;C00000336;2020-08-31 00:00:00;2020-09-16 00:00:00
linky0337;C00000337;2020-09-01 00:00:00;2020-09-17 00:00:00
linky0338;C00000338;2020-09-02 00:00:00;2020-09-18 00:00:00
linky0339;C00000339;2020-09-03 00:00:00;2020-09-19 00:00:00
linky0340;C00000340;2020-09-04 00:00:00;2020-09-20 00:00:00
linky0341;C00000341;2020-09-05 00:00:00;2020-09-21 00:00:00
linky0342;C00000342;2020-09-06 00:00:00;2020-09-22 00:00:00
linky0343;C00000343;2020-09-07 00:00:00;2020-09-23 00:00:00
linky0344;C00000344;2020-09-08 00:00:00;2020-09-24 00:00:00
linky0345;C00000345;2020-09-09 00:00:00;2020-09-25 00:00:00
linky0346;C00000346;2020-09-10 00:00:00;2020-09-26 00:00:00
linky0347;C00000347;2020-09-11 00:00:00;2020-09-27 00:00:00
linky0348;C00000348;2020-09-12 00:00:00;2020-09-28 00:00:00
linky0349;C00000349;2020-09-13 00:00:00;2020-09-29 00:00:00
linky0350;C00000350;2020-09-14 00:00:00;2020-09-30 00:00:00
linky0351;C00000351;2020-09-15 00:00:00;2020-10-01 00:00:00
linky0352;C00000352;2020-09-16 00:00:00;2020-10-02 00:00:00
linky0353;C00000353;2020-09-17 00:00:00;2020-10-03 00:00:00
linky0354;C00000354;2020-09-18 00:00:00;2020-10-04 00:00:00
linky0355;C00000355;2020-09-19 00:00:00;2020-10-05 00:00:00
linky0356;C00000356;2020-09-20 00:00:00;2020-10-06 00:00:00
linky0357;C00000357;2020-09-21 00:00:00;2020-10-07 00:00:00
linky0358;C00000358;2020-09-22 00:00:00;2020-10-08 00:00:00
linky0359;C00000359;2020-09-23 00:00:00;2020-10-09 00:00:00
linky0360;C00000360;2020-09-24 00:00:00;2020-10-10 00:00:00
linky0361;C00000361;2020-09-25 00:00:00;2020-10-11 00:00:00
linky0362;C00000362;2020-09-26 00:00:00;2020-10-12 00:00:00
linky0363;C00000363;2020-09-27 00:00:00;2020-10-13 00:00:00
linky0364;C00000364;2020-09-28 00:00:00;2020-10-14 00:00:00
linky0365;C00000365;2020-09-29 00:00:00;2020-10-15 00:00:00
linky0366;C00000366;2020-09-30 00:00:00;2020-10-16 00:00:00
linky0367;C00000367;2020-10-01 00:00:00;2020-10-17 00:00:00
linky0368;C00000368;2020-10-02 00:00:00;2020-10-18 00:00:00
linky0369;C00000369;2020-10-03 00:00:00;2020-10-19 00:00:00
linky0370;C00000370;2020-10-04 00:00:00;2020-10-20 00:00:00
linky0371;C00000371;2020-10-05 00:00:00;2020-10-21 00:00:00
linky0372;C00000372;2020-10-06 00:00:00;2020-10-22 00:00:00
linky0373;C00000373;2020-10-07 00:00:00;2020-10-23 00:00:00
linky0374;C00000374;2020-10-08 00:00:00;2020-10-24 00:00:00
linky0375;C00000375;2020-10-09 00:00:00;2020-10-25 00:00:00
linky0376;C00000376;2020-10-10 00:00:00;2020-10-26 00:00:00
linky0377;C00000377;2020-10-11 00:00:00;2020-10-27 00:00:00
linky0378;C00000378;2020-10-12 00:00:00;2020-10-28 00:00:00
linky0379;C00000379;2020-10-13 00:00:00;2020-10-29 00:00:00
linky0380;C00000380;2020-10-14 00:00:00;2020-10-30 00:00:00
linky0381;C00000381;2020-10-15 00:00:00;2020-10-31 00:00:00
linky0382;C00000382;2020-10-16 00:00:00;2020-11-01 00:00:00
linky0383;C00000383;2020-10-17 00:00:00;2020-11-02 00:00:00
linky0384;C00000384;2020-10-18 00:00:00;2020-11-03 00:00:00
linky0385;C00000385;2020-10-19 00:00:00;2020-11-04 00:00:00
linky0386;C00000386;2020-10-20 00:00:00;2020-11-05 00:00:00
linky0387;C00000387;2020-10-21 00:00:00;2020-11-06 00:00:00
