pdk;id_concentrateur;date_debut;date_fin
pdk0108;K00000108;2018-05-02 00:00:00;2018-06-29 00:00:00
pdk0109;K00000109;2018-05-03 00:00:00;2018-06-30 00:00:00
pdk0110;K00000110;2018-05-04 00:00:00;2018-07-01 00:00:00
pdk0111;K00000111;2018-05-05 00:00:00;2018-07-02 00:00:00
pdk0112;K00000112;2018-05-06 00:00:00;2018-07-03 00:00:00
pdk0113;K00000113;2018-05-07 00:00:00;2018-07-04 00:00:00
pdk0114;K00000114;2018-05-08 00:00:00;2018-07-05 00:00:00
pdk0115;K00000115;2018-05-09 00:00:00;2018-07-06 00:00:00
pdk0116;K00000116;2018-05-10 00:00:00;2018-07-07 00:00:00
pdk0117;K00000117;2018-05-11 00:00:00;2018-07-08 00:00:00
pdk0118;K00000118;2018-05-12 00:00:00;2018-07-09 00:00:00
pdk0119;K00000119;2018-05-13 00:00:00;2018-07-10 00:00:00
pdk0120;K00000120;2018-05-14 00:00:00;2018-07-11 00:00:00
pdk0121;K00000121;2018-05-15 00:00:00;2018-07-12 00:00:00
pdk0122;K00000122;2018-05-16 00:00:00;2018-07-13 00:00:00
pdk0123;K00000123;2018-05-17 00:00:00;2018-07-14 00:00:00
pdk0124;K00000124;2018-05-18 00:00:00;2018-07-15 00:00:00
pdk0125;K00000125;2018-05-19 00:00:00;2018-07-16 00:00:00
pdk0126;K00000126;2018-05-20 00:00:00;2018-07-17 00:00:00
pdk0127;K00000127;2018-05-21 00:00:00;2018-07-18 00:00:00
pdk0128;K00000128;2018-05-22 00:00:00;2018-07-19 00:00:00
pdk0129;K00000129;2018-05-23 00:00:00;2018-07-20 00:00:00
pdk0130;K00000130;2018-05-24 00:00:00;2018-07-21 00:00:00
pdk0131;K00000131;2018-05-25 00:00:00;2018-07-22 00:00:00
pdk0132;K00000132;2018-05-26 00:00:00;2018-07-23 00:00:00
pdk0133;K00000133;2018-05-27 00:00:00;2018-07-24 00:00:00
pdk0134;K00000134;2018-05-28 00:00:00;2018-07-25 00:00:00
pdk0135;K00000135;2018-05-29 00:00:00;2018-07-26 00:00:00
pdk0136;K00000136;2018-05-30 00:00:00;2018-07-27 00:00:00
pdk0137;K00000137;2018-05-31 00:00:00;2018-07-28 00:00:00
pdk0138;K00000138;2018-06-01 00:00:00;2018-07-29 00:00:00
pdk0139;K00000139;2018-06-02 00:00:00;2018-07-30 00:00:00
pdk0140;K00000140;2018-06-03 00:00:00;2018-07-31 00:00:00
pdk0141;K00000141;2018-06-04 00:00:00;2018-08-01 00:00:00
pdk0142;K00000142;2018-06-05 00:00:00;2018-08-02 00:00:00
pdk0143;K00000143;2018-06-06 00:00:00;2018-08-03 00:00:00
pdk0144;K00000144;2018-06-07 00:00:00;2018-08-04 00:00:00
pdk0145;K00000145;2018-06-08 00:00:00;2018-08-05 00:00:00
pdk0146;K00000146;2018-06-09 00:00:00;2018-08-06 00:00:00
pdk0147;K00000147;2018-06-10 00:00:00;2018-08-07 00:00:00
pdk0148;K00000148;2018-06-11 00:00:00;2018-08-08 00:00:00
pdk0149;K00000149;2018-06-12 00:00:00;2018-08-09 00:00:00
pdk0150;K00000150;2018-06-13 00:00:00;2018-08-10 00:00:00
pdk0151;K00000151;2018-06-14 00:00:00;2018-08-11 00:00:00
pdk0152;K00000152;2018-06-15 00:00:00;2018-08-12 00:00:00
pdk0153;K00000153;2018-06-16 00:00:00;2018-08-13 00:00:00
pdk0154;K00000154;2018-06-17 00:00:00;2018-08-14 00:00:00
pdk0155;K00000155;2018-06-18 00:00:00;2018-08-15 00:00:00
pdk0156;K00000156;2018-06-19 00:00:00;2018-08-16 00:00:00
pdk0157;K00000157;2018-06-20 00:00:00;2018-08-17 00:00:00
pdk0158;K00000158;2018-06-21 00:00:00;2018-08-18 00:00:00
pdk0159;K00000159;2018-06-22 00:00:00;2018-08-19 00:00:00
pdk0160;K00000160;2018-06-23 00:00:00;2018-08-20 00:00:00
pdk0161;K00000161;2018-06-24 00:00:00;2018-08-21 00:00:00
pdk0162;K00000162;2018-06-25 00:00:00;2018-08-22 00:00:00
pdk0163;K00000163;2018-06-26 00:00:00;2018-08-23 00:00:00
pdk0164;K00000164;2018-06-27 00:00:00;2018-08-24 00:00:00
pdk0165;K00000165;2018-06-28 00:00:00;2018-08-25 00:00:00
pdk0166;K00000166;2018-06-29 00:00:00;2018-08-26 00:00:00
pdk0167;K00000167;2018-06-30 00:00:00;2018-08-27 00:00:00
pdk0168;K00000168;2018-07-01 00:00:00;2018-08-28 00:00:00
pdk0169;K00000169;2018-07-02 00:00:00;2018-08-29 00:00:00
pdk0170;K00000170;2018-07-03 00:00:00;2018-08-30 00:00:00
pdk0171;K00000171;2018-07-04 00:00:00;2018-08-31 00:00:00
pdk0172;K00000172;2018-07-05 00:00:00;2018-09-01 00:00:00
pdk0173;K00000173;2018-07-06 00:00:00;2018-09-02 00:00:00
pdk0174;K00000174;2018-07-07 00:00:00;2018-09-03 00:00:00
pdk0175;K00000175;2018-07-08 00:00:00;2018-09-04 00:00:00
pdk0176;K00000176;2018-07-09 00:00:00;2018-09-05 00:00:00
pdk0177;K00000177;2018-07-10 00:00:00;2018-09-06 00:00:00
pdk0178;K00000178;2018-07-11 00:00:00;2018-09-07 00:00:00
pdk0179;K00000179;2018-07-12 00:00:00;2018-09-08 00:00:00
pdk0180;K00000180;2018-07-13 00:00:00;2018-09-09 00:00:00
pdk0181;K00000181;2018-07-14 00:00:00;2018-09-10 00:00:00
pdk0182;K00000182;2018-07-15 00:00:00;2018-09-11 00:00:00
pdk0183;K00000183;2018-07-16 00:00:00;2018-09-12 00:00:00
pdk0184;K00000184;2018-07-17 00:00:00;2018-09-13 00:00:00
pdk0185;K00000185;2018-07-18 00:00:00;2018-09-14 00:00:00
pdk0186;K00000186;2018-07-19 00:00:00;2018-09-15 00:00:00
pdk0187;K00000187;2018-07-20 00:00:00;2018-09-16 00:00:00
pdk0188;K00000188;2018-07-21 00:00:00;2018-09-17 00:00:00
pdk0189;K00000189;2018-07-22 00:00:00;2018-09-18 00:00:00
pdk0190;K00000190;2018-07-23 00:00:00;2018-09-19 00:00:00
pdk0191;K00000191;2018-07-24 00:00:00;2018-09-20 00:00:00
pdk0192;K00000192;2018-07-25 00:00:00;2018-09-21 00:00:00
pdk0193;K00000193;2018-07-26 00:00:00;2018-09-22 00:00:00
pdk0194;K00000194;2018-07-27 00:00:00;2018-09-23 00:00:00
pdk0195;K00000195;2018-07-28 00:00:00;2018-09-24 00:00:00
pdk0196;K00000196;2018-07-29 00:00:00;2018-09-25 00:00:00
pdk0197;K00000197;2018-07-30 00:00:00;2018-09-26 00:00:00
pdk0198;K00000198;2018-07-31 00:00:00;2018-09-27 00:00:00
pdk0199;K00000199;2018-08-01 00:00:00;2018-09-28 00:00:00
pdk0200;K00000200;2018-08-02 00:00:00;2018-09-29 00:00:00
pdk0201;K00000201;2018-08-03 00:00:00;2018-09-30 00:00:00
pdk0202;K00000202;2018-08-04 00:00:00;2018-10-01 00:00:00
pdk0203;K00000203;2018-08-05 00:00:00;2018-10-02 00:00:00
pdk0204;K00000204;2018-08-06 00:00:00;2018-10-03 00:00:00
pdk0205;K00000205;2018-08-07 00:00:00;2018-10-04 00:00:00
pdk0206;K00000206;2018-08-08 00:00:00;2018-10-05 00:00:00
pdk0207;K00000207;2018-08-09 00:00:00;2018-10-06 00:00:00
pdk0208;K00000208;2018-08-10 00:00:00;2018-10-07 00:00:00
pdk0209;K00000209;2018-08-11 00:00:00;2018-10-08 00:00:00
pdk0210;K00000210;2018-08-12 00:00:00;2018-10-09 00:00:00
pdk0211;K00000211;2018-08-13 00:00:00;2018-10-10 00:00:00
pdk0212;K00000212;2018-08-14 00:00:00;2018-10-11 00:00:00
pdk0213;K00000213;2018-08-15 00:00:00;2018-10-12 00:00:00
pdk0214;K00000214;2018-08-16 00:00:00;2018-10-13 00:00:00
pdk0215;K00000215;2018-08-17 00:00:00;2018-10-14 00:00:00
pdk0216;K00000216;2018-08-18 00:00:00;2018-10-15 00:00:00
pdk0217;K00000217;2018-08-19 00:00:00;2018-10-16 00:00:00
pdk0218;K00000218;2018-08-20 00:00:00;2018-10-17 00:00:00
pdk0219;K00000219;2018-08-21 00:00:00;2018-10-18 00:00:00
pdk0220;K00000220;2018-08-22 00:00:00;2018-10-19 00:00:00
pdk0221;K00000221;2018-08-23 00:00:00;2018-10-20 00:00:00
pdk0222;K00000222;2018-08-24 00:00:00;2018-10-21 00:00:00
pdk0223;K00000223;2018-08-25 00:00:00;2018-10-22 00:00:00
pdk0224;K00000224;2018-08-26 00:00:00;2018-10-23 00:00:00
pdk0225;K00000225;2018-08-27 00:00:00;2018-10-24 00:00:00
pdk0226;K00000226;2018-08-28 00:00:00;2018-10-25 00:00:00
pdk0227;K00000227;2018-08-29 00:00:00;2018-10-26 00:00:00
pdk0228;K00000228;2018-08-30 00:00:00;2018-10-27 00:00:00
pdk0229;K00000229;2018-08-31 00:00:00;2018-10-28 00:00:00
pdk0230;K00000230;2018-09-01 00:00:00;2018-10-29 00:00:00
pdk0231;K00000231;2018-09-02 00:00:00;2018-10-30 00:00:00
pdk0232;K00000232;2018-09-03 00:00:00;2018-10-31 00:00:00
pdk0233;K00000233;2018-09-04 00:00:00;2018-11-01 00:00:00
pdk0234;K00000234;2018-09-05 00:00:00;2018-11-02 00:00:00
pdk0235;K00000235;2018-09-06 00:00:00;2018-11-03 00:00:00
pdk0236;K00000236;2018-09-07 00:00:00;2018-11-04 00:00:00
pdk0237;K00000237;2018-09-08 00:00:00;2018-11-05 00:00:00
pdk0238;K00000238;2018-09-09 00:00:00;2018-11-06 00:00:00
pdk0239;K00000239;2018-09-10 00:00:00;2018-11-07 00:00:00
pdk0240;K00000240;2018-09-11 00:00:00;2018-11-08 00:00:00
pdk0241;K00000241;2018-09-12 00:00:00;2018-11-09 00:00:00
pdk0242;K00000242;2018-09-13 00:00:00;2018-11-10 00:00:00
pdk0243;K00000243;2018-09-14 00:00:00;2018-11-11 00:00:00
pdk0244;K00000244;2018-09-15 00:00:00;2018-11-12 00:00:00
pdk0245;K00000245;2018-09-16 00:00:00;2018-11-13 00:00:00
pdk0246;K00000246;2018-09-17 00:00:00;2018-11-14 00:00:00
pdk0247;K00000247;2018-09-18 00:00:00;2018-11-15 00:00:00
pdk0248;K00000248;2018-09-19 00:00:00;2018-11-16 00:00:00
pdk0249;K00000249;2018-09-20 00:00:00;2018-11-17 00:00:00
pdk0250;K00000250;2018-09-21 00:00:00;2018-11-18 00:00:00
pdk0251;K00000251;2018-09-22 00:00:00;2018-11-19 00:00:00
pdk0252;K00000252;2018-09-23 00:00:00;2018-11-20 00:00:00
pdk0253;K00000253;2018-09-24 00:00:00;2018-11-21 00:00:00
pdk0254;K00000254;2018-09-25 00:00:00;2018-11-22 00:00:00
pdk0255;K00000255;2018-09-26 00:00:00;2018-11-23 00:00:00
pdk0256;K00000256;2018-09-27 00:00:00;2018-11-24 00:00:00
pdk0257;K00000257;2018-09-28 00:00:00;2018-11-25 00:00:00
pdk0258;K00000258;2018-09-29 00:00:00;2018-11-26 00:00:00
pdk0259;K00000259;2018-09-30 00:00:00;2018-11-27 00:00:00
pdk0260;K00000260;2018-10-01 00:00:00;2018-11-28 00:00:00
pdk0261;K00000261;2018-10-02 00:00:00;2018-11-29 00:00:00
pdk0262;K00000262;2018-10-03 00:00:00;2018-11-30 00:00:00
pdk0263;K00000263;2018-10-04 00:00:00;2018-12-01 00:00:00
pdk0264;K00000264;2018-10-05 00:00:00;2018-12-02 00:00:00
pdk0265;K00000265;2018-10-06 00:00:00;2018-12-03 00:00:00
pdk0266;K00000266;2018-10-07 00:00:00;2018-12-04 00:00:00
pdk0267;K00000267;2018-10-08 00:00:00;2018-12-05 00:00:00
pdk0268;K00000268;2018-10-09 00:00:00;2018-12-06 00:00:00
pdk0269;K00000269;2018-10-10 00:00:00;2018-12-07 00:00:00
pdk0270;K00000270;2018-10-11 00:00:00;2018-12-08 00:00:00
pdk0271;K00000271;2018-10-12 00:00:00;2018-12-09 00:00:00
pdk0272;K00000272;2018-10-13 00:00:00;2018-12-10 00:00:00
pdk0273;K00000273;2018-10-14 00:00:00;2018-12-11 00:00:00
pdk0274;K00000274;2018-10-15 00:00:00;2018-12-12 00:00:00
pdk0275;K00000275;2018-10-16 00:00:00;2018-12-13 00:00:00
pdk0276;K00000276;2018-10-17 00:00:00;2018-12-14 00:00:00
pdk0277;K00000277;2018-10-18 00:00:00;2018-12-15 00:00:00
pdk0278;K00000278;2018-10-19 00:00:00;2018-12-16 00:00:00
pdk0279;K00000279;2018-10-20 00:00:00;2018-12-17 00:00:00
pdk0280;K00000280;2018-10-21 00:00:00;2018-12-18 00:00:00
pdk0281;K00000281;2018-10-22 00:00:00;2018-12-19 00:00:00
pdk0282;K00000282;2018-10-23 00:00:00;2018-12-20 00:00:00
pdk0283;K00000283;2018-10-24 00:00:00;2018-12-21 00:00:00
pdk0284;K00000284;2018-10-25 00:00:00;2018-12-22 00:00:00
pdk0285;K00000285;2018-10-26 00:00:00;2018-12-23 00:00:00
pdk0286;K00000286;2018-10-27 00:00:00;2018-12-24 00:00:00
pdk0287;K00000287;2018-10-28 00:00:00;2018-12-25 00:00:00
pdk0288;K00000288;2018-10-29 00:00:00;2018-12-26 00:00:00
pdk0289;K00000289;2018-10-30 00:00:00;2018-12-27 00:00:00
pdk0290;K00000290;2018-10-31 00:00:00;2018-12-28 00:00:00
pdk0291;K00000291;2018-11-01 00:00:00;2018-12-29 00:00:00
pdk0292;K00000292;2018-11-02 00:00:00;2018-12-30 00:00:00
pdk0293;K00000293;2018-11-03 00:00:00;2018-12-31 00:00:00
pdk0294;K00000294;2018-11-04 00:00:00;2019-01-01 00:00:00
pdk0295;K00000295;2018-11-05 00:00:00;2019-01-02 00:00:00
pdk0296;K00000296;2018-11-06 00:00:00;2019-01-03 00:00:00
pdk0297;K00000297;2018-11-07 00:00:00;2019-01-04 00:00:00
pdk0298;K00000298;2018-11-08 00:00:00;2019-01-05 00:00:00
pdk0299;K00000299;2018-11-09 00:00:00;2019-01-06 00:00:00
pdk0300;K00000300;2018-11-10 00:00:00;2019-01-07 00:00:00
pdk0301;K00000301;2018-11-11 00:00:00;2019-01-08 00:00:00
pdk0302;K00000302;2018-11-12 00:00:00;2019-01-09 00:00:00
pdk0303;K00000303;2018-11-13 00:00:00;2019-01-10 00:00:00
pdk0304;K00000304;2018-11-14 00:00:00;2019-01-11 00:00:00
pdk0305;K00000305;2018-11-15 00:00:00;2019-01-12 00:00:00
pdk0306;K00000306;2018-11-16 00:00:00;2019-01-13 00:00:00
pdk0307;K00000307;2018-11-17 00:00:00;2019-01-14 00:00:00
pdk0308;K00000308;2018-11-18 00:00:00;2019-01-15 00:00:00
pdk0309;K00000309;2018-11-19 00:00:00;2019-01-16 00:00:00
pdk0310;K00000310;2018-11-20 00:00:00;2019-01-17 00:00:00
pdk0311;K00000311;2018-11-21 00:00:00;2019-01-18 00:00:00
pdk0312;K00000312;2018-11-22 00:00:00;2019-01-19 00:00:00
pdk0313;K00000313;2018-11-23 00:00:00;2019-01-20 00:00:00
pdk0314;K00000314;2018-11-24 00:00:00;2019-01-21 00:00:00
pdk0315;K00000315;2018-11-25 00:00:00;2019-01-22 00:00:00
pdk0316;K00000316;2018-11-26 00:00:00;2019-01-23 00:00:00
pdk0317;K00000317;2018-11-27 00:00:00;2019-01-24 00:00:00
pdk0318;K00000318;2018-11-28 00:00:00;2019-01-25 00:00:00
pdk0319;K00000319;2018-11-29 00:00:00;2019-01-26 00:00:00
pdk0320;K00000320;2018-11-30 00:00:00;2019-01-27 00:00:00
pdk0321;K00000321;2018-12-01 00:00:00;2019-01-28 00:00:00
pdk0322;K00000322;2018-12-02 00:00:00;2019-01-29 00:00:00
pdk0323;K00000323;2018-12-03 00:00:00;2019-01-30 00:00:00
pdk0324;K00000324;2018-12-04 00:00:00;2019-01-31 00:00:00
pdk0325;K00000325;2018-12-05 00:00:00;2019-02-01 00:00:00
pdk0326;K00000326;2018-12-06 00:00:00;2019-02-02 00:00:00
pdk0327;K00000327;2018-12-07 00:00:00;2019-02-03 00:00:00
pdk0328;K00000328;2018-12-08 00:00:00;2019-02-04 00:00:00
pdk0329;K00000329;2018-12-09 00:00:00;2019-02-05 00:00:00
pdk0330;K00000330;2018-12-10 00:00:00;2019-02-06 00:00:00
pdk0331;K00000331;2018-12-11 00:00:00;2019-02-07 00:00:00
pdk0332;K00000332;2018-12-12 00:00:00;2019-02-08 00:00:00
pdk0333;K00000333;2018-12-13 00:00:00;2019-02-09 00:00:00
pdk0334;K00000334;2018-12-14 00:00:00;2019-02-10 00:00:00
pdk0335;K00000335;2018-12-15 00:00:00;2019-02-11 00:00:00
pdk0336;K00000336;2018-12-16 00:00:00;2019-02-12 00:00:00
pdk0337;K00000337;2018-12-17 00:00:00;2019-02-13 00:00:00
pdk0338;K00000338;2018-12-18 00:00:00;2019-02-14 00:00:00
pdk0339;K00000339;2018-12-19 00:00:00;2019-02-15 00:00:00
pdk0340;K00000340;2018-12-20 00:00:00;2019-02-16 00:00:00
pdk0341;K00000341;2018-12-21 00:00:00;2019-02-17 00:00:00
pdk0342;K00000342;2018-12-22 00:00:00;2019-02-18 00:00:00
pdk0343;K00000343;2018-12-23 00:00:00;2019-02-19 00:00:00
pdk0344;K00000344;2018-12-24 00:00:00;2019-02-20 00:00:00
pdk0345;K00000345;2018-12-25 00:00:00;2019-02-21 00:00:00
pdk0346;K00000346;2018-12-26 00:00:00;2019-02-22 00:00:00
pdk0347;K00000347;2018-12-27 00:00:00;2019-02-23 00:00:00
pdk0348;K00000348;2018-12-28 00:00:00;2019-02-24 00:00:00
pdk0349;K00000349;2018-12-29 00:00:00;2019-02-25 00:00:00
pdk0350;K00000350;2018-12-30 00:00:00;2019-02-26 00:00:00
pdk0351;K00000351;2018-12-31 00:00:00;2019-02-27 00:00:00
pdk0352;K00000352;2019-01-01 00:00:00;2019-02-28 00:00:00
pdk0353;K00000353;2019-01-02 00:00:00;2019-03-01 00:00:00
pdk0354;K00000354;2019-01-03 00:00:00;2019-03-02 00:00:00
pdk0355;K00000355;2019-01-04 00:00:00;2019-03-03 00:00:00
pdk0356;K00000356;2019-01-05 00:00:00;2019-03-04 00:00:00
pdk0357;K00000357;2019-01-06 00:00:00;2019-03-05 00:00:00
pdk0358;K00000358;2019-01-07 00:00:00;2019-03-06 00:00:00
pdk0359;K00000359;2019-01-08 00:00:00;2019-03-07 00:00:00
pdk0360;K00000360;2019-01-09 00:00:00;2019-03-08 00:00:00
pdk0361;K00000361;2019-01-10 00:00:00;2019-03-09 00:00:00
pdk0362;K00000362;2019-01-11 00:00:00;2019-03-10 00:00:00
pdk0363;K00000363;2019-01-12 00:00:00;2019-03-11 00:00:00
pdk0364;K00000364;2019-01-13 00:00:00;2019-03-12 00:00:00
pdk0365;K00000365;2019-01-14 00:00:00;2019-03-13 00:00:00
pdk0366;K00000366;2019-01-15 00:00:00;2019-03-14 00:00:00
pdk0367;K00000367;2019-01-16 00:00:00;2019-03-15 00:00:00
pdk0368;K00000368;2019-01-17 00:00:00;2019-03-16 00:00:00
pdk0369;K00000369;2019-01-18 00:00:00;2019-03-17 00:00:00
pdk0370;K00000370;2019-01-19 00:00:00;2019-03-18 00:00:00
pdk0371;K00000371;2019-01-20 00:00:00;2019-03-19 00:00:00
pdk0372;K00000372;2019-01-21 00:00:00;2019-03-20 00:00:00
pdk0373;K00000373;2019-01-22 00:00:00;2019-03-21 00:00:00
pdk0374;K00000374;2019-01-23 00:00:00;2019-03-22 00:00:00
pdk0375;K00000375;2019-01-24 00:00:00;2019-03-23 00:00:00
pdk0376;K00000376;2019-01-25 00:00:00;2019-03-24 00:00:00
pdk0377;K00000377;2019-01-26 00:00:00;2019-03-25 00:00:00
